Type;viersteller;vierstellername;AnzahlA;Anzahl KH;mwNennungenKH;antKHTop10Prozent;antKHTop20Prozent;antKHTop30Prozent;antKHTop40Prozent;antKHTop50Prozent
1;5-010;Schädeleröffnung über die Kalotte;72430;306;236.6993;0.4726;0.6966;0.8387;0.9247;0.9721
1;5-011;Zugang durch die Schädelbasis;4150;192;21.6146;0.5043;0.6877;0.8058;0.8805;0.9294
1;5-012;Inzision der Schädelknochen [Kraniotomie und Kraniektomie];7543;267;28.2509;0.3963;0.6202;0.7729;0.8725;0.937
1;5-013;Inzision von Gehirn und Hirnhäuten;22058;263;83.8707;0.3615;0.5796;0.7265;0.8367;0.9168
1;5-014;Stereotaktische Operationen an Schädel, Gehirn und Hirnhäuten;1763;93;18.957;0.629;0.8202;0.8945;0.9404;0.9648
1;5-015;Exzision und Destruktion von erkranktem intrakraniellem Gewebe;21906;208;105.3173;0.3812;0.6028;0.74;0.8391;0.909
1;5-016;Exzision und Destruktion von erkranktem Gewebe der Schädelknochen;2674;253;10.5692;0.4607;0.6773;0.7917;0.8736;0.9245
1;5-017;Inzision, Resektion und Destruktion an intrakraniellen Anteilen von Hirnnerven und Ganglien;1592;122;13.0492;0.4516;0.647;0.7776;0.8574;0.9133
1;5-018;Mikrovaskuläre Dekompression von intrakraniellen Nerven;773;113;6.8407;0.3648;0.5692;0.6973;0.7865;0.859
1;5-020;Kranioplastik;10466;248;42.2016;0.5035;0.6943;0.818;0.8938;0.9466
1;5-021;Rekonstruktion der Hirnhäute;33244;314;105.8726;0.4848;0.7315;0.8654;0.9441;0.9798
1;5-022;Inzision am Liquorsystem;14996;278;53.9424;0.4439;0.675;0.8101;0.90;0.9531
1;5-023;Anlegen eines Liquorshuntes [Shunt-Implantation];7083;224;31.6205;0.3843;0.5964;0.7385;0.843;0.913
1;5-024;Revision und Entfernung von Liquorableitungen;10116;255;39.6706;0.4996;0.6902;0.8203;0.899;0.9462
1;5-025;Inzision, Exzision, Destruktion und Verschluss von intrakraniellen Blutgefäßen;4185;168;24.9107;0.3627;0.5723;0.7099;0.8196;0.8922
1;5-026;Rekonstruktion von intrakraniellen Blutgefäßen;1514;124;12.2097;0.4399;0.6724;0.7952;0.8758;0.9221
1;5-027;Anlegen eines Bypasses und Transposition von intrakraniellen Blutgefäßen;241;33;7.303;0.6017;0.7718;0.8548;0.9004;0.9336
1;5-028;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten;2405;86;27.9651;0.4628;0.6994;0.8312;0.9056;0.9605
1;5-029;Andere Operationen an Schädel, Gehirn und Hirnhäuten;6604;197;33.5228;0.4938;0.7059;0.8304;0.9017;0.9447
1;5-030;Zugang zum kraniozervikalen Übergang und zur Halswirbelsäule;45325;675;67.1481;0.3922;0.594;0.7269;0.8218;0.8912
1;5-031;Zugang zur Brustwirbelsäule;27820;681;40.8517;0.4934;0.6957;0.8157;0.8918;0.9417
1;5-032;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis;290580;887;327.5986;0.4016;0.6014;0.7382;0.8389;0.9082
1;5-033;Inzision des Spinalkanals;33123;640;51.7547;0.5316;0.736;0.8484;0.9141;0.9523
1;5-034;Inzision von Rückenmark und Rückenmarkhäuten;1577;251;6.2829;0.617;0.7356;0.8098;0.8649;0.9004
1;5-035;Exzision und Destruktion von erkranktem Gewebe des Rückenmarkes und der Rückenmarkhäute;7441;427;17.4262;0.4423;0.6463;0.7843;0.868;0.9215
1;5-036;Plastische Operationen an Rückenmark und Rückenmarkhäuten;17304;621;27.8647;0.4356;0.6346;0.7686;0.8558;0.9181
1;5-037;Operationen an intraspinalen Blutgefäßen;1735;136;12.7574;0.7222;0.8548;0.902;0.9308;0.9527
1;5-038;Operationen am spinalen Liquorsystem;11455;368;31.1277;0.5314;0.7275;0.8472;0.917;0.9552
1;5-039;Andere Operationen an Rückenmark und Rückenmarkstrukturen;12260;429;28.5781;0.6505;0.8031;0.8807;0.9274;0.9542
1;5-040;Inzision von Nerven;1687;292;5.7774;0.7226;0.7996;0.8483;0.8826;0.9135
1;5-041;Exzision und Destruktion von (erkranktem) Gewebe von Nerven;9930;793;12.5221;0.5326;0.7077;0.8083;0.8744;0.9186
1;5-042;Exzision eines Nerven zur Transplantation;741;174;4.2586;0.4953;0.6397;0.7382;0.8178;0.865
1;5-043;Sympathektomie;835;98;8.5204;0.6659;0.7832;0.8383;0.8838;0.9198
1;5-044;Epineurale Naht eines Nerven und Nervenplexus, primär;5849;564;10.3706;0.5233;0.7124;0.8118;0.8803;0.9232
1;5-045;Interfaszikuläre Naht eines Nerven und Nervenplexus, primär;1395;340;4.1029;0.4351;0.6194;0.7355;0.8136;0.8624
1;5-046;Epineurale Naht eines Nerven und Nervenplexus, sekundär;480;229;2.0961;0.2938;0.4625;0.5875;0.6833;0.7625
1;5-047;Interfaszikuläre Naht eines Nerven und Nervenplexus, sekundär;143;76;1.8816;0.4336;0.5315;0.6294;0.6783;0.7343
1;5-048;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation;357;125;2.856;0.4202;0.577;0.6863;0.7563;0.8263
1;5-049;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation;286;105;2.7238;0.4965;0.6119;0.6958;0.7657;0.8182
1;5-04a;Perkutane Sympathikolyse mit Steuerung durch bildgebende Verfahren;1705;192;8.8802;0.5367;0.7079;0.8135;0.8721;0.9138
1;5-050;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, primär;458;155;2.9548;0.5502;0.655;0.7293;0.7948;0.8319
1;5-051;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, primär;52;34;1.5294;0.2885;0.4423;0.5385;0.6154;0.6731
1;5-052;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, sekundär;67;47;1.4255;0.2836;0.403;0.5075;0.5821;0.6567
1;5-053;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, sekundär;70;34;2.0588;0.3429;0.5286;0.6143;0.7143;0.7571
1;5-054;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;209;108;1.9352;0.3684;0.5024;0.5981;0.689;0.7416
1;5-055;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;137;56;2.4464;0.4745;0.5912;0.6861;0.7518;0.7956
1;5-056;Neurolyse und Dekompression eines Nerven;54159;1090;49.6872;0.5155;0.7044;0.8117;0.8788;0.9242
1;5-057;Neurolyse und Dekompression eines Nerven mit Transposition;4600;520;8.8462;0.66;0.7915;0.8578;0.8985;0.927
1;5-058;Andere Rekonstruktion eines Nerven und Nervenplexus;476;145;3.2828;0.4118;0.5756;0.687;0.771;0.834
1;5-059;Andere Operationen an Nerven und Ganglien;9728;486;20.0165;0.5096;0.6876;0.7917;0.8649;0.9172
1;5-060;Inzision im Gebiet der Schilddrüse;1869;483;3.8696;0.4425;0.6116;0.7164;0.7935;0.8459
1;5-061;Hemithyreoidektomie;24374;883;27.6036;0.5119;0.682;0.7857;0.8577;0.9092
1;5-062;Andere partielle Schilddrüsenresektion;11501;856;13.4357;0.5051;0.6609;0.7654;0.837;0.8899
1;5-063;Thyreoidektomie;36705;886;41.4278;0.5354;0.6982;0.799;0.8671;0.9166
1;5-064;Operationen an der Schilddrüse durch Sternotomie;212;116;1.8276;0.3208;0.4623;0.5755;0.6698;0.7264
1;5-065;Exzision des Ductus thyreoglossus;2098;276;7.6014;0.3961;0.5791;0.7169;0.8136;0.8856
1;5-066;Partielle Nebenschilddrüsenresektion;2358;335;7.0388;0.6561;0.774;0.8414;0.8842;0.9152
1;5-067;Parathyreoidektomie;4673;497;9.4024;0.5774;0.7342;0.8245;0.8823;0.9202
1;5-068;Operationen an der Nebenschilddrüse durch Sternotomie;60;42;1.4286;0.3167;0.4333;0.5167;0.5833;0.65
1;5-069;Andere Operationen an Schilddrüse und Nebenschilddrüsen;71552;900;79.5022;0.5255;0.6891;0.795;0.8654;0.9153
1;5-070;Exploration der (Umgebung der) Nebenniere;60;47;1.2766;0.20;0.3333;0.45;0.5333;0.6167
1;5-071;Partielle Adrenalektomie;606;252;2.4048;0.396;0.5396;0.6469;0.7294;0.7921
