TraegerName;Fallstufe;Anzahl KH;Anteil KH;Traeger_Nr;TraegerSort;FallstufeSort
Alle;bis 4.999 Fälle;496;0.3313;A;0;f04999
Alle;5.000 bis 9.999 Fälle;323;0.2158;A;0;f09999
Alle;10.000 bis 14.999 Fälle;213;0.1423;A;0;f14999
Alle;15.000 bis 19.999 Fälle;155;0.1035;A;0;f19999
Alle;20.000 bis 29.999 Fälle;183;0.1222;A;0;f29999
Alle;30.000 bis 39.999 Fälle;63;0.0421;A;0;f39999
Alle;über 40.000 Fälle;64;0.0428;A;0;f40000+
Öffentliche Krankenhäuser;bis 4.999 Fälle;91;0.1978;O;1;f04999
Öffentliche Krankenhäuser;5.000 bis 9.999 Fälle;93;0.2022;O;1;f09999
Öffentliche Krankenhäuser;10.000 bis 14.999 Fälle;61;0.1326;O;1;f14999
Öffentliche Krankenhäuser;15.000 bis 19.999 Fälle;53;0.1152;O;1;f19999
Öffentliche Krankenhäuser;20.000 bis 29.999 Fälle;77;0.1674;O;1;f29999
Öffentliche Krankenhäuser;30.000 bis 39.999 Fälle;35;0.0761;O;1;f39999
Öffentliche Krankenhäuser;über 40.000 Fälle;50;0.1087;O;1;f40000+
Freigemeinnützige Krankenhäuser;bis 4.999 Fälle;155;0.2623;F;2;f04999
Freigemeinnützige Krankenhäuser;5.000 bis 9.999 Fälle;141;0.2386;F;2;f09999
Freigemeinnützige Krankenhäuser;10.000 bis 14.999 Fälle;119;0.2014;F;2;f14999
Freigemeinnützige Krankenhäuser;15.000 bis 19.999 Fälle;74;0.1252;F;2;f19999
Freigemeinnützige Krankenhäuser;20.000 bis 29.999 Fälle;79;0.1337;F;2;f29999
Freigemeinnützige Krankenhäuser;30.000 bis 39.999 Fälle;18;0.0305;F;2;f39999
Freigemeinnützige Krankenhäuser;über 40.000 Fälle;5;0.0085;F;2;f40000+
Private Krankenhäuser;bis 4.999 Fälle;250;0.5605;P;3;f04999
Private Krankenhäuser;5.000 bis 9.999 Fälle;89;0.1996;P;3;f09999
Private Krankenhäuser;10.000 bis 14.999 Fälle;33;0.074;P;3;f14999
Private Krankenhäuser;15.000 bis 19.999 Fälle;28;0.0628;P;3;f19999
Private Krankenhäuser;20.000 bis 29.999 Fälle;27;0.0605;P;3;f29999
Private Krankenhäuser;30.000 bis 39.999 Fälle;10;0.0224;P;3;f39999
Private Krankenhäuser;über 40.000 Fälle;9;0.0202;P;3;f40000+
