Type;drg;name;AnzahlA;mwVwd;vwdStd;AnzKLA;AntKLA;AnzLLA;AntLLA
1;901A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta oder IntK > 392 / 368 / - Aufwandspunkte;699;25.7768;18.4951;83;0.1187;112;0.1602
1;901B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne Strahlentherapie, ohne endovaskulärer Implantation von Stent-Prothesen an der Aorta, ohne IntK > 392 / 368 / - Aufwandsp., mit hochkomplexer OR-Prozedur oder komplizierender Konstellation;3874;21.7083;14.1904;433;0.1118;486;0.1255
1;901C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit komplexer OR-Prozedur oder anderem Eingriff an Kopf und Wirbelsäule oder Alter < 1 Jahr oder bei Para- / Tetraplegie;1607;19.1462;13.2152;161;0.1002;188;0.117
1;901D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne Strahlentherapie, ohne IntK > 392 / 368 / - Punkte, ohne hochkomplexe oder komplexe OR-Prozedur, Alter > 0 Jahre, außer bei Para- / Tetraplegie;29286;13.5319;10.4571;3737;0.1276;2777;0.0948
1;902Z;Nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;7582;9.4894;8.7066;1460;0.1926;581;0.0766
1;960Z;Nicht gruppierbar;240;5.5625;12.8784;0;0.00;0;0.00
1;961Z;Unzulässige Hauptdiagnose;297;7.4343;10.2491;0;0.00;0;0.00
1;962Z;Unzulässige Kodierung einer Sectio caesarea;3;3.6667;2.0817;0;0.00;0;0.00
1;963Z;Neonatale Diagnose unvereinbar mit Alter oder Gewicht;130;6.8462;11.7595;23;0.1769;10;0.0769
1;A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;80;63.4375;33.3569;1;0.0125;36;0.45
1;A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder Alter < 6 Jahre;289;41.173;28.7257;13;0.045;65;0.2249
1;A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, Alter > 5 Jahre;355;28.0056;17.0407;6;0.0169;51;0.1437
1;A02Z;Transplantation von Niere und Pankreas;72;34.0972;20.024;0;0.00;21;0.2917
1;A03A;Lungentransplantation mit Beatmung > 179 Stunden;55;54.2545;28.9861;0;0.00;17;0.3091
1;A03B;Lungentransplantation ohne Beatmung > 179 Stunden;209;28.8517;14.2026;5;0.0239;28;0.134
1;A04A;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit zweiter Knochenmarktransplantation / Stammzelltransfusion im selben Aufenthalt;20;138.70;72.1892;0;0.00;0;0.00
1;A04B;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom oder mit Graft-versus-host-Krankheit Grad III und IV, mit Gabe bestimmter Stammzellen oder Alter < 16 Jahre, mit bestimmter Entnahme oder Stammzellboost;59;77.4576;59.5805;0;0.00;24;0.4068
1;A04C;Knochenmarktransplantation / Stammzelltransfusion, allogen, < 16 J., od. GVHD Grad III/IV od. auß. b. Plasmozytom, mit Gabe best. Stammz. od. GVHD III/IV od. HLA-versch., mit best. Entn. od. SZ-Boost, od. m. intensivm. Komplexbeh. > 1764 / 1932 / 2760 P.;374;68.4947;43.5801;1;0.0027;106;0.2834
1;A04D;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit Graft-versus-host-Krankheit Grad III und IV, oder außer bei Plasmozytom, HLA-verschieden oder mit Komplexbehandlung bei multiresistenten Erregern;823;51.9004;30.8442;1;0.0012;188;0.2284
1;A04E;Knochenmarktransplantation / Stammzelltransfusion, allogen, außer bei Plasmozytom;1531;40.744;20.1128;2;0.0013;197;0.1287
1;A04F;Knochenmarktransplantation / Stammzelltransfusion, allogen, bei Plasmozytom, ohne Graft-versus-host-Krankheit Grad III und IV, Alter > 15 Jahre;109;36.7339;12.7509;0;0.00;9;0.0826
1;A05A;Herztransplantation mit Beatmung > 179 Stunden oder intensivmedizinischer Komplexbehandlung > 2646 / 2484 / - Aufwandspunkte;96;154.6042;96.8401;10;0.1042;47;0.4896
1;A05B;Herztransplantation ohne Beatmung > 179 Stunden, ohne intensivmedizinische Komplexbehandlung > 2646 / 2484 / - Aufwandspunkte;159;92.4528;105.1521;7;0.044;53;0.3333
1;A06A;Beatmung > 1799 Stunden mit intensivmedizinischer Komplexbehandlung > 2940 / 3680 / 5520 Aufwandspunkte oder mit hochkomplexem Eingriff;594;145.6465;63.1626;0;0.00;288;0.4848
1;A06B;Beatmung > 1799 Stunden mit komplexer OR-Prozedur oder Polytrauma, ohne hochkomplexen Eingriff, ohne intensivmedizinische Komplexbehandlung > 2940 / 3680 / 5520 Aufwandspunkte;151;126.6954;63.9381;0;0.00;67;0.4437
1;A06C;Beatmung > 1799 Stunden, ohne komplexe OR-Prozedur, ohne Polytrauma, ohne intensivmedizinische Komplexbehandlung > 2940 / 5520 / - Aufwandspunkte;920;112.9804;42.0368;0;0.00;318;0.3457
1;A07A;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit komplexer OR-Prozedur oder Polytrauma und int. Komplexbeh. > 3920 / 3680 / 3680 P. oder mit hochkompl. oder dreizeitigem Eingr.;848;92.7005;42.781;0;0.00;299;0.3526
1;A07B;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Aufwandspunkte, mit kompl. OR-Proz. und kompliz. Konst. od. mit Polytrauma oder Alter < 16 J. oder intensivmed. Komplexbeh. > - / 3220 / - Punkte;1571;78.0872;32.1753;0;0.00;536;0.3412
1;A07C;Beatmung > 999 Stunden oder > 499 Stunden mit intensivmedizinischer Komplexbehandlung > 4900 / 4600 / 4600 Punkte, mit komplexer OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre oder mit intensivmedizinischer Komplexbehandlung > 2352 / 1932 / 2484 Punkte;2602;71.1522;27.0235;0;0.00;590;0.2267
1;A07D;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, mit intensivmedizinischer Komplexbehandlung > 1176 / 1104 / 2208 und < 2353 / 1933 / 2209 Aufwandspunkte, mit komplexer Diagnose oder komplizierender Konstellation;574;65.9774;29.0918;0;0.00;105;0.1829
1;A07E;Beatmung > 999 Stunden ohne komplexe OR-Prozedur, ohne Polytrauma, Alter > 15 Jahre, ohne intensivmedizinische Komplexbehandlung > 1176 / 1104 / 2208 Aufwandspunkte, ohne komplexe Diagnose, ohne komplizierende Konstellation;1327;67.8161;25.2886;0;0.00;349;0.263
1;A09A;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352/1932/2208 P., mit hochkomplexem Eingriff oder kompl. OR-Proz. und Alter < 16 Jahre, mit int. Komplexbeh. > 1764/1932/- P. oder mit sehr kompl. Eingr. und int. Komplexbeh. > -/2208/- P.;1414;69.8727;35.4509;0;0.00;482;0.3409
1;A09B;Beatmung > 499 Stunden oder > 249 Stunden mit int. Komplexbeh. > 2352 / 1932 / 2208 P., mit angeb. Fehlbild. od. Tumorerkr., Alter < 3 J. oder mit hochkompl. Eingr. oder mit kompl. OR-Proz. oder int. Komplexbeh. > 1764 / 1932 / - P. und Alter < 16 Jahre;6167;50.4847;27.1734;0;0.00;1637;0.2654
