Type;Type2;Bereich;Bereichsname;Anzahl;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1;1;01;Bestimmte infektiöse und parasitäre Krankheiten;632737;7.3414;8.908;26353;44197;22737;17332;25277;22532;21494;18524;16665;15981;21581;27897;31248;34281;38515;44977;70271;61133;46460;25282;0.0416;0.0699;0.0359;0.0274;0.0399;0.0356;0.034;0.0293;0.0263;0.0253;0.0341;0.0441;0.0494;0.0542;0.0609;0.0711;0.1111;0.0966;0.0734;0.04
1;1;02;Neubildungen;1795773;7.4732;9.5171;4118;9559;7612;7498;10860;11623;17944;24379;34509;51583;95873;142726;175931;208350;228543;231546;274485;157273;75674;25687;0.0023;0.0053;0.0042;0.0042;0.006;0.0065;0.01;0.0136;0.0192;0.0287;0.0534;0.0795;0.098;0.116;0.1273;0.1289;0.1529;0.0876;0.0421;0.0143
1;1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;131323;6.2655;7.0815;1089;3349;3035;2179;2318;2162;2351;2564;2965;3499;5041;6105;6597;8111;9681;11819;19703;17328;13692;7735;0.0083;0.0255;0.0231;0.0166;0.0177;0.0165;0.0179;0.0195;0.0226;0.0266;0.0384;0.0465;0.0502;0.0618;0.0737;0.09;0.15;0.1319;0.1043;0.0589
1;1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;512993;7.4747;8.3009;1885;3934;5826;9185;9237;7659;9487;11219;13500;16363;25190;33243;35886;37259;40053;41825;66167;61668;51436;31971;0.0037;0.0077;0.0114;0.0179;0.018;0.0149;0.0185;0.0219;0.0263;0.0319;0.0491;0.0648;0.07;0.0726;0.0781;0.0815;0.129;0.1202;0.1003;0.0623
1;1;05;Psychische und Verhaltensstörungen;298509;5.1067;8.3131;693;3614;6136;10335;32657;19012;16794;17826;18121;18578;24378;27570;23024;16173;11643;11049;15453;12339;8831;4283;0.0023;0.0121;0.0206;0.0346;0.1094;0.0637;0.0563;0.0597;0.0607;0.0622;0.0817;0.0924;0.0771;0.0542;0.039;0.037;0.0518;0.0413;0.0296;0.0143
1;1;06;Krankheiten des Nervensystems;759186;6.266;9.7983;4626;11900;13266;14794;21374;21539;25551;25609;28013;31980;48074;62403;63914;61052;60417;66219;90681;60684;33583;13507;0.0061;0.0157;0.0175;0.0195;0.0282;0.0284;0.0337;0.0337;0.0369;0.0421;0.0633;0.0822;0.0842;0.0804;0.0796;0.0872;0.1194;0.0799;0.0442;0.0178
1;1;07;Krankheiten des Auges und der Augenanhangsgebilde;301509;2.9978;2.8012;1100;2701;4271;2606;3034;3283;4612;4583;4986;6083;10860;16967;20819;27064;32546;39820;54999;36552;18592;6031;0.0036;0.009;0.0142;0.0086;0.0101;0.0109;0.0153;0.0152;0.0165;0.0202;0.036;0.0563;0.069;0.0898;0.1079;0.1321;0.1824;0.1212;0.0617;0.02
1;1;08;Krankheiten des Ohres und des Warzenfortsatzes;150089;3.8322;2.7534;2353;5987;3819;2952;3337;3488;4828;5677;6401;7487;10901;13692;13804;13339;12341;11872;14010;8406;4079;1316;0.0157;0.0399;0.0254;0.0197;0.0222;0.0232;0.0322;0.0378;0.0426;0.0499;0.0726;0.0912;0.092;0.0889;0.0822;0.0791;0.0933;0.056;0.0272;0.0088
1;1;09;Krankheiten des Kreislaufsystems;2886598;7.4017;9.1852;1605;1786;2800;6148;11089;11294;15359;20370;29654;46170;92931;155891;210496;259603;303342;359473;535172;415589;274008;133818;0.0006;0.0006;0.001;0.0021;0.0038;0.0039;0.0053;0.0071;0.0103;0.016;0.0322;0.054;0.0729;0.0899;0.1051;0.1245;0.1854;0.144;0.0949;0.0464
1;1;10;Krankheiten des Atmungssystems;1172459;7.0075;7.5614;51471;104386;34880;16450;27196;29071;30739;29217;27562;26447;36449;51149;66529;79792;90046;101454;136670;107616;79428;45907;0.0439;0.089;0.0297;0.014;0.0232;0.0248;0.0262;0.0249;0.0235;0.0226;0.0311;0.0436;0.0567;0.0681;0.0768;0.0865;0.1166;0.0918;0.0677;0.0392
