Type;Bereich;Bezeichnung;Anzahl KH;AnzahlTS
1;01;Bestimmte infektiöse und parasitäre Krankheiten;168;4877
1;02;Neubildungen;246;149535
1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;164;7448
1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;221;15211
1;05;Psychische und Verhaltensstörungen;220;19068
1;06;Krankheiten des Nervensystems;276;39070
1;07;Krankheiten des Auges und der Augenanhangsgebilde;83;7585
1;08;Krankheiten des Ohres und des Warzenfortsatzes;110;8557
1;09;Krankheiten des Kreislaufsystems;236;12056
1;10;Krankheiten des Atmungssystems;198;5525
1;11;Krankheiten des Verdauungssystems;186;13731
1;12;Krankheiten der Haut und der Unterhaut;118;19475
1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;287;28971
1;14;Krankheiten des Urogenitalsystems;198;13201
1;15;Schwangerschaft, Geburt und Wochenbett;23;924
1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;29;167
1;17;Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;98;5739
1;18;Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind;293;28139
1;19;Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen;233;9680
1;20;Äußere Ursachen von Morbidität und Mortalität;0;0
1;21;Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen;223;39167
1;22;Schlüsselnummern für besondere Zwecke;5;10
2;A00-A09;Infektiöse Darmkrankheiten;62;230
2;A15-A19;Tuberkulose;21;114
2;A20-A28;Bestimmte bakterielle Zoonosen;6;7
2;A30-A49;Sonstige bakterielle Krankheiten;74;367
2;A50-A64;Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen werden;31;249
2;A65-A69;Sonstige Spirochätenkrankheiten;52;202
2;A70-A74;Sonstige Krankheiten durch Chlamydien;-999;-999
2;A75-A79;Rickettsiosen;-999;-999
2;A80-A89;Virusinfektionen des Zentralnervensystems;19;37
2;A92-A99;Durch Arthropoden übertragene Viruskrankheiten und virale hämorrhagische Fieber;-999;-999
2;B00-B09;Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind;73;671
2;B15-B19;Virushepatitis;17;281
2;B20-B24;HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];16;2265
2;B25-B34;Sonstige Viruskrankheiten;34;107
2;B35-B49;Mykosen;34;153
2;B50-B64;Protozoenkrankheiten;13;19
2;B65-B83;Helminthosen;7;30
2;B85-B89;Pedikulose [Läusebefall], Akarinose [Milbenbefall] und sonstiger Parasitenbefall der Haut;14;57
2;B90-B94;Folgezustände von infektiösen und parasitären Krankheiten;3;3
2;B95-B98;Bakterien, Viren und sonstige Infektionserreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;0;0
2;B99-B99;Sonstige Infektionskrankheiten;26;81
2;C00-C14;Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx;80;3178
2;C15-C26;Bösartige Neubildungen der Verdauungsorgane;158;24941
2;C30-C39;Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe;128;15037
2;C40-C41;Bösartige Neubildungen des Knochens und des Gelenkknorpels;60;1248
2;C43-C44;Melanom und sonstige bösartige Neubildungen der Haut;80;8873
2;C45-C49;Bösartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes;104;3637
2;C50-C50;Bösartige Neubildungen der Brustdrüse [Mamma];114;21477
2;C51-C58;Bösartige Neubildungen der weiblichen Genitalorgane;113;7107
2;C60-C63;Bösartige Neubildungen der männlichen Genitalorgane;105;4768
2;C64-C68;Bösartige Neubildungen der Harnorgane;111;2750
2;C69-C72;Bösartige Neubildungen des Auges, des Gehirns und sonstiger Teile des Zentralnervensystems;88;4164
2;C73-C75;Bösartige Neubildungen der Schilddrüse und sonstiger endokriner Drüsen;63;1139
2;C76-C80;Bösartige Neubildungen ungenau bezeichneter, sekundärer und nicht näher bezeichneter Lokalisationen;128;4937
2;C81-C96;Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes, als primär festgestellt oder vermutet;131;33846
2;C97-C97;Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen;0;0
2;D00-D09;In-situ-Neubildungen;45;684
2;D10-D36;Gutartige Neubildungen;112;4850
2;D37-D48;Neubildungen unsicheren oder unbekannten Verhaltens;137;6899
2;D50-D53;Alimentäre Anämien;91;448
2;D55-D59;Hämolytische Anämien;72;2130
2;D60-D64;Aplastische und sonstige Anämien;99;1666
2;D65-D69;Koagulopathien, Purpura und sonstige hämorrhagische Diathesen;94;1290
2;D70-D77;Sonstige Krankheiten des Blutes und der blutbildenden Organe;73;463
2;D80-D90;Bestimmte Störungen mit Beteiligung des Immunsystems;97;1451
2;E00-E07;Krankheiten der Schilddrüse;58;1065
2;E10-E14;Diabetes mellitus;158;5276
2;E15-E16;Sonstige Störungen der Blutglukose-Regulation und der inneren Sekretion des Pankreas;21;81
2;E20-E35;Krankheiten sonstiger endokriner Drüsen;62;2466
2;E40-E46;Mangelernährung;16;53
2;E50-E64;Sonstige alimentäre Mangelzustände;51;119
2;E65-E68;Adipositas und sonstige Überernährung;63;1953
2;E70-E90;Stoffwechselstörungen;136;4198
2;F00-F09;Organische, einschließlich symptomatischer psychischer Störungen;130;1550
2;F10-F19;Psychische und Verhaltensstörungen durch psychotrope Substanzen;22;86
2;F20-F29;Schizophrenie, schizotype und wahnhafte Störungen;15;18
2;F30-F39;Affektive Störungen;111;668
2;F40-F48;Neurotische, Belastungs- und somatoforme Störungen;152;11317
2;F50-F59;Verhaltensauffälligkeiten mit körperlichen Störungen und Faktoren;37;561
2;F60-F69;Persönlichkeits- und Verhaltensstörungen;24;77
2;F70-F79;Intelligenzstörung;18;42
2;F80-F89;Entwicklungsstörungen;46;3352
2;F90-F98;Verhaltens- und emotionale Störungen mit Beginn in der Kindheit und Jugend;53;1392
2;F99-F99;Nicht näher bezeichnete psychische Störungen;4;5
2;G00-G09;Entzündliche Krankheiten des Zentralnervensystems;46;494
2;G10-G14;Systematrophien, die vorwiegend das Zentralnervensystem betreffen;56;290
2;G20-G26;Extrapyramidale Krankheiten und Bewegungsstörungen;183;2085
2;G30-G32;Sonstige degenerative Krankheiten des Nervensystems;113;1026
2;G35-G37;Demyelinisierende Krankheiten des Zentralnervensystems;75;3701
2;G40-G47;Episodische und paroxysmale Krankheiten des Nervensystems;178;24658
2;G50-G59;Krankheiten von Nerven, Nervenwurzeln und Nervenplexus;110;1240
2;G60-G64;Polyneuropathien und sonstige Krankheiten des peripheren Nervensystems;133;2705
2;G70-G73;Krankheiten im Bereich der neuromuskulären Synapse und des Muskels;73;595
2;G80-G83;Zerebrale Lähmung und sonstige Lähmungssyndrome;131;1182
2;G90-G99;Sonstige Krankheiten des Nervensystems;113;1094
2;H00-H06;Affektionen des Augenlides, des Tränenapparates und der Orbita;31;680
2;H10-H13;Affektionen der Konjunktiva;11;47
2;H15-H22;Affektionen der Sklera, der Hornhaut, der Iris und des Ziliarkörpers;21;105
2;H25-H28;Affektionen der Linse;9;3506
2;H30-H36;Affektionen der Aderhaut und der Netzhaut;16;2535
2;H40-H42;Glaukom;7;37
2;H43-H45;Affektionen des Glaskörpers und des Augapfels;9;20
2;H46-H48;Affektionen des N. opticus und der Sehbahn;34;163
2;H49-H52;Affektionen der Augenmuskeln, Störungen der Blickbewegungen sowie Akkommodationsstörungen und Refraktionsfehler;43;192
2;H53-H54;Sehstörungen und Blindheit;44;216
2;H55-H59;Sonstige Affektionen des Auges und der Augenanhangsgebilde;34;84
2;H60-H62;Krankheiten des äußeren Ohres;15;78
2;H65-H75;Krankheiten des Mittelohres und des Warzenfortsatzes;24;260
2;H80-H83;Krankheiten des Innenohres;79;1152
2;H90-H95;Sonstige Krankheiten des Ohres;42;7067
2;I00-I02;Akutes rheumatisches Fieber;0;0
2;I05-I09;Chronische rheumatische Herzkrankheiten;9;21
2;I10-I15;Hypertonie [Hochdruckkrankheit];109;725
2;I20-I25;Ischämische Herzkrankheiten;111;1290
2;I26-I28;Pulmonale Herzkrankheit und Krankheiten des Lungenkreislaufes;61;129
2;I30-I52;Sonstige Formen der Herzkrankheit;164;3539
2;I60-I69;Zerebrovaskuläre Krankheiten;175;3359
2;I70-I79;Krankheiten der Arterien, Arteriolen und Kapillaren;141;1711
2;I80-I89;Krankheiten der Venen, der Lymphgefäße und der Lymphknoten, anderenorts nicht klassifiziert;92;1128
2;I95-I99;Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems;48;154
2;J00-J06;Akute Infektionen der oberen Atemwege;30;131
2;J09-J18;Grippe und Pneumonie;79;317
2;J20-J22;Sonstige akute Infektionen der unteren Atemwege;42;191
2;J30-J39;Sonstige Krankheiten der oberen Atemwege;49;790
