Type;Type2;Bereich;Bereichsname;Anzahl;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1;1;1;Bestimmte infektiöse und parasitäre Krankheiten;595218;7,4284;8,8841;25732;49697;21104;17614;22994;21096;18802;16434;14540;16083;21747;25747;27580;31531;31715;51250;63424;53248;42774;22106;0,0432;0,0835;0,0355;0,0296;0,0386;0,0354;0,0316;0,0276;0,0244;0,027;0,0365;0,0433;0,0463;0,053;0,0533;0,0861;0,1066;0,0895;0,0719;0,0371
1;1;2;Neubildungen;1778376;7,7219;9,6942;4076;9666;7488;7929;10507;11865;17188;24275;32619;57203;104662;144672;170014;206193;203799;276721;253508;139674;72294;24023;0,0023;0,0054;0,0042;0,0045;0,0059;0,0067;0,0097;0,0137;0,0183;0,0322;0,0589;0,0814;0,0956;0,1159;0,1146;0,1556;0,1426;0,0785;0,0407;0,0135
1;1;3;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;136234;6,5149;7,0512;990;2938;2814;2115;2341;1960;2132;2356;2770;3713;5255;6184;6535;8301;8975;15385;20486;18233;14744;8007;0,0073;0,0216;0,0207;0,0155;0,0172;0,0144;0,0156;0,0173;0,0203;0,0273;0,0386;0,0454;0,048;0,0609;0,0659;0,1129;0,1504;0,1338;0,1082;0,0588
1;1;4;Endokrine, Ernährungs- und Stoffwechselkrankheiten;499175;7,6525;8,4157;1842;3790;5612;9748;8737;7763;8790;10644;12784;17351;26606;33163;34516;37538;35539;50054;63109;54949;47950;28690;0,0037;0,0076;0,0112;0,0195;0,0175;0,0156;0,0176;0,0213;0,0256;0,0348;0,0533;0,0664;0,0691;0,0752;0,0712;0,1003;0,1264;0,1101;0,0961;0,0575
1;1;5;Psychische und Verhaltensstörungen;305858;5,0591;8,216;719;3656;6201;11307;31458;19265;16897;17457;17761;20480;27652;28682;22445;16171;11142;13718;15399;12002;9076;4370;0,0024;0,012;0,0203;0,037;0,1029;0,063;0,0552;0,0571;0,0581;0,067;0,0904;0,0938;0,0734;0,0529;0,0364;0,0449;0,0503;0,0392;0,0297;0,0143
1;1;6;Krankheiten des Nervensystems;746288;6,3024;9,4387;4544;11161;12844;14991;20468;21420;23759;24974;25953;34498;50952;61239;60547;59518;54063;79127;85225;54580;33171;13254;0,0061;0,015;0,0172;0,0201;0,0274;0,0287;0,0318;0,0335;0,0348;0,0462;0,0683;0,0821;0,0811;0,0798;0,0724;0,106;0,1142;0,0731;0,0444;0,0178
1;1;7;Krankheiten des Auges und der Augenanhangsgebilde;299011;3,1115;2,8483;1126;2780;4298;2699;2771;3368;4018;4281;4475;6663;11206;16282;20161;26111;29132;47505;53896;33355;19010;5874;0,0038;0,0093;0,0144;0,009;0,0093;0,0113;0,0134;0,0143;0,015;0,0223;0,0375;0,0545;0,0674;0,0873;0,0974;0,1589;0,1802;0,1116;0,0636;0,0196
1;1;8;Krankheiten des Ohres und des Warzenfortsatzes;145824;4,1052;2,9556;2067;5413;3441;2908;3064;3699;4666;5367;5885;7880;11351;13330;13285;12980;10943;14061;13149;7381;3871;1083;0,0142;0,0371;0,0236;0,0199;0,021;0,0254;0,032;0,0368;0,0404;0,054;0,0778;0,0914;0,0911;0,089;0,075;0,0964;0,0902;0,0506;0,0265;0,0074
1;1;9;Krankheiten des Kreislaufsystems;2833399;7,6274;9,2685;1394;1770;2958;6800;11243;12000;15151;19617;27659;50191;99305;154588;201336;254356;269862;430869;508955;379065;263072;123208;0,0005;0,0006;0,001;0,0024;0,004;0,0042;0,0053;0,0069;0,0098;0,0177;0,035;0,0546;0,0711;0,0898;0,0952;0,1521;0,1796;0,1338;0,0928;0,0435
1;1;10;Krankheiten des Atmungssystems;1079287;7,1769;7,4949;44928;99326;32926;16606;27371;29668;28362;27260;24596;27037;36225;47783;58336;71142;73521;107478;119312;94264;72670;40476;0,0416;0,092;0,0305;0,0154;0,0254;0,0275;0,0263;0,0253;0,0228;0,0251;0,0336;0,0443;0,0541;0,0659;0,0681;0,0996;0,1105;0,0873;0,0673;0,0375
1;1;11;Krankheiten des Verdauungssystems;1907088;5,7093;7,3331;11967;14029;18540;35551;56688;61635;65625;68404;71913;91385;132323;152794;151451;153554;136398;188366;202864;144196;101057;48348;0,0063;0,0074;0,0097;0,0186;0,0297;0,0323;0,0344;0,0359;0,0377;0,0479;0,0694;0,0801;0,0794;0,0805;0,0715;0,0988;0,1064;0,0756;0,053;0,0254
1;1;12;Krankheiten der Haut und der Unterhaut;288395;6,9722;10,2213;3822;8649;6493;6689;15067;18616;18000;15965;13769;15249;19979;21186;19183;17786;14330;19658;20870;15270;11619;6195;0,0133;0,03;0,0225;0,0232;0,0522;0,0646;0,0624;0,0554;0,0477;0,0529;0,0693;0,0735;0,0665;0,0617;0,0497;0,0682;0,0724;0,0529;0,0403;0,0215
1;1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;1679702;7,2935;7,0619;407;4947;8730;18070;25418;28181;34628;41927;52251;80664;129091;165834;173871;169406;145979;209080;205478;111659;55644;18437;0,0002;0,0029;0,0052;0,0108;0,0151;0,0168;0,0206;0,025;0,0311;0,048;0,0769;0,0987;0,1035;0,1009;0,0869;0,1245;0,1223;0,0665;0,0331;0,011
1;1;14;Krankheiten des Urogenitalsystems;969271;5,161;5,7962;8422;8667;7237;10130;25001;32760;37865;40555;41963;52114;69185;69941;64695;69803;67400;99449;108493;76319;53805;25467;0,0087;0,0089;0,0075;0,0105;0,0258;0,0338;0,0391;0,0418;0,0433;0,0538;0,0714;0,0722;0,0667;0,072;0,0695;0,1026;0,1119;0,0787;0,0555;0,0263
1;1;15;Schwangerschaft, Geburt und Wochenbett;807879;3,935;3,9526;25;3;7;372;26691;111295;233139;264934;138882;30557;1878;88;5;2;0;0;0;0;0;1;0;0;0;0,0005;0,033;0,1378;0,2886;0,3279;0,1719;0,0378;0,0023;0,0001;0;0;0;0;0;0;0;0
1;1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;176624;9,5718;15,677;176479;84;32;9;5;4;3;1;1;0;2;2;1;0;0;1;0;0;0;0;0,9992;0,0005;0,0002;0,0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;17;Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;97682;5,6455;10,3364;29871;16874;9210;7170;6038;4055;3306;2680;2342;2446;2835;2794;2147;1730;1227;1459;954;355;147;42;0,3058;0,1727;0,0943;0,0734;0,0618;0,0415;0,0338;0,0274;0,024;0,025;0,029;0,0286;0,022;0,0177;0,0126;0,0149;0,0098;0,0036;0,0015;0,0004
