Type;Bereich;Bezeichnung;Anzahl KH;AnzahlTS
1;01;Bestimmte infektiöse und parasitäre Krankheiten;156;5138
1;02;Neubildungen;230;149399
1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;153;7197
1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;204;15034
1;05;Psychische und Verhaltensstörungen;208;18436
1;06;Krankheiten des Nervensystems;248;35091
1;07;Krankheiten des Auges und der Augenanhangsgebilde;73;10608
1;08;Krankheiten des Ohres und des Warzenfortsatzes;94;7633
1;09;Krankheiten des Kreislaufsystems;232;11163
1;10;Krankheiten des Atmungssystems;179;5644
1;11;Krankheiten des Verdauungssystems;174;10837
1;12;Krankheiten der Haut und der Unterhaut;123;19185
1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;256;26125
1;14;Krankheiten des Urogenitalsystems;200;12479
1;15;Schwangerschaft, Geburt und Wochenbett;29;751
1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;31;161
1;17;Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;97;5098
1;18;Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind;261;24148
1;19;Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen;223;8431
1;20;Äußere Ursachen von Morbidität und Mortalität;0;0
1;21;Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen;216;37391
1;22;Schlüsselnummern für besondere Zwecke;6;10
2;A00-A09;Infektiöse Darmkrankheiten;60;217
2;A15-A19;Tuberkulose;11;54
2;A20-A28;Bestimmte bakterielle Zoonosen;3;4
2;A30-A49;Sonstige bakterielle Krankheiten;61;274
2;A50-A64;Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen werden;40;257
2;A65-A69;Sonstige Spirochätenkrankheiten;52;266
2;A70-A74;Sonstige Krankheiten durch Chlamydien;-999;-999
2;A75-A79;Rickettsiosen;0;0
2;A80-A89;Virusinfektionen des Zentralnervensystems;16;35
2;A90-A99;Durch Arthropoden übertragene Viruskrankheiten und virale hämorrhagische Fieber;2;3
2;B00-B09;Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind;79;616
2;B15-B19;Virushepatitis;17;327
2;B20-B24;HIV-Krankheit [Humane Immundefizienz-Viruskrankheit];15;2649
2;B25-B34;Sonstige Viruskrankheiten;32;65
2;B35-B49;Mykosen;30;139
2;B50-B64;Protozoenkrankheiten;12;26
2;B65-B83;Helminthosen;5;13
2;B85-B89;Pedikulose [Läusebefall], Akarinose [Milbenbefall] und sonstiger Parasitenbefall der Haut;15;55
2;B90-B94;Folgezustände von infektiösen und parasitären Krankheiten;2;2
2;B95-B98;Bakterien, Viren und sonstige Infektionserreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind;0;0
2;B99-B99;Sonstige Infektionskrankheiten;22;133
2;C00-C14;Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx;80;3284
2;C15-C26;Bösartige Neubildungen der Verdauungsorgane;159;26263
2;C30-C39;Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe;112;13964
2;C40-C41;Bösartige Neubildungen des Knochens und des Gelenkknorpels;53;1636
2;C43-C44;Melanom und sonstige bösartige Neubildungen der Haut;75;7274
2;C45-C49;Bösartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes;97;3578
2;C50-C50;Bösartige Neubildungen der Brustdrüse [Mamma];106;23298
2;C51-C58;Bösartige Neubildungen der weiblichen Genitalorgane;104;6082
2;C60-C63;Bösartige Neubildungen der männlichen Genitalorgane;98;3700
2;C64-C68;Bösartige Neubildungen der Harnorgane;107;2650
2;C69-C72;Bösartige Neubildungen des Auges, des Gehirns und sonstiger Teile des Zentralnervensystems;81;4656
2;C73-C75;Bösartige Neubildungen der Schilddrüse und sonstiger endokriner Drüsen;69;1150
2;C76-C80;Bösartige Neubildungen ungenau bezeichneter, sekundärer und nicht näher bezeichneter Lokalisationen;126;4833
2;C81-C96;Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes, als primär festgestellt oder vermutet;132;34090
2;C97-C97;Bösartige Neubildungen als Primärtumoren an mehreren Lokalisationen;0;0
2;D00-D09;In-situ-Neubildungen;43;1100
