BettenStufe;BereichName;Anzahl KH;Anteil KH;StufeSort;BereichSortName
0;CMI < 0,9;522;0,3434;alle;CMI09
0;CMI 0,9 bis unter 1,0;339;0,223;alle;CMI0910
0;CMI 1,0 bis unter 1,1;246;0,1618;alle;CMI1011
0;CMI 1,1 bis unter 1,2;106;0,0697;alle;CMI1112
0;CMI 1,2 bis unter 1,3;61;0,0401;alle;CMI1213
0;CMI >= 1,3;246;0,1618;alle;CMI13
1;CMI < 0,9;113;0,6532;001 bis 049 Betten;CMI09
1;CMI 0,9 bis unter 1,0;7;0,0405;001 bis 049 Betten;CMI0910
1;CMI 1,0 bis unter 1,1;9;0,052;001 bis 049 Betten;CMI1011
1;CMI 1,1 bis unter 1,2;7;0,0405;001 bis 049 Betten;CMI1112
1;CMI 1,2 bis unter 1,3;3;0,0173;001 bis 049 Betten;CMI1213
1;CMI >= 1,3;34;0,1965;001 bis 049 Betten;CMI13
2;CMI < 0,9;91;0,4313;050 bis 099 Betten;CMI09
2;CMI 0,9 bis unter 1,0;33;0,1564;050 bis 099 Betten;CMI0910
2;CMI 1,0 bis unter 1,1;18;0,0853;050 bis 099 Betten;CMI1011
2;CMI 1,1 bis unter 1,2;9;0,0427;050 bis 099 Betten;CMI1112
2;CMI 1,2 bis unter 1,3;7;0,0332;050 bis 099 Betten;CMI1213
2;CMI >= 1,3;53;0,2512;050 bis 099 Betten;CMI13
3;CMI < 0,9;82;0,4059;100 bis 149 Betten;CMI09
3;CMI 0,9 bis unter 1,0;35;0,1733;100 bis 149 Betten;CMI0910
3;CMI 1,0 bis unter 1,1;25;0,1238;100 bis 149 Betten;CMI1011
3;CMI 1,1 bis unter 1,2;9;0,0446;100 bis 149 Betten;CMI1112
3;CMI 1,2 bis unter 1,3;7;0,0347;100 bis 149 Betten;CMI1213
3;CMI >= 1,3;44;0,2178;100 bis 149 Betten;CMI13
4;CMI < 0,9;76;0,4246;150 bis 199 Betten;CMI09
4;CMI 0,9 bis unter 1,0;46;0,257;150 bis 199 Betten;CMI0910
4;CMI 1,0 bis unter 1,1;20;0,1117;150 bis 199 Betten;CMI1011
4;CMI 1,1 bis unter 1,2;8;0,0447;150 bis 199 Betten;CMI1112
4;CMI 1,2 bis unter 1,3;9;0,0503;150 bis 199 Betten;CMI1213
4;CMI >= 1,3;20;0,1117;150 bis 199 Betten;CMI13
5;CMI < 0,9;51;0,4048;200 bis 249 Betten;CMI09
5;CMI 0,9 bis unter 1,0;37;0,2937;200 bis 249 Betten;CMI0910
5;CMI 1,0 bis unter 1,1;15;0,119;200 bis 249 Betten;CMI1011
5;CMI 1,1 bis unter 1,2;4;0,0317;200 bis 249 Betten;CMI1112
5;CMI 1,2 bis unter 1,3;4;0,0317;200 bis 249 Betten;CMI1213
5;CMI >= 1,3;15;0,119;200 bis 249 Betten;CMI13
6;CMI < 0,9;34;0,3333;250 bis 299 Betten;CMI09
6;CMI 0,9 bis unter 1,0;31;0,3039;250 bis 299 Betten;CMI0910
6;CMI 1,0 bis unter 1,1;20;0,1961;250 bis 299 Betten;CMI1011
6;CMI 1,1 bis unter 1,2;7;0,0686;250 bis 299 Betten;CMI1112
6;CMI 1,2 bis unter 1,3;4;0,0392;250 bis 299 Betten;CMI1213
6;CMI >= 1,3;6;0,0588;250 bis 299 Betten;CMI13
7;CMI < 0,9;46;0,257;300 bis 399 Betten;CMI09
7;CMI 0,9 bis unter 1,0;58;0,324;300 bis 399 Betten;CMI0910
7;CMI 1,0 bis unter 1,1;35;0,1955;300 bis 399 Betten;CMI1011
7;CMI 1,1 bis unter 1,2;13;0,0726;300 bis 399 Betten;CMI1112
7;CMI 1,2 bis unter 1,3;6;0,0335;300 bis 399 Betten;CMI1213
7;CMI >= 1,3;21;0,1173;300 bis 399 Betten;CMI13
8;CMI < 0,9;19;0,1583;400 bis 499 Betten;CMI09
8;CMI 0,9 bis unter 1,0;51;0,425;400 bis 499 Betten;CMI0910
8;CMI 1,0 bis unter 1,1;32;0,2667;400 bis 499 Betten;CMI1011
8;CMI 1,1 bis unter 1,2;12;0,10;400 bis 499 Betten;CMI1112
8;CMI 1,2 bis unter 1,3;3;0,025;400 bis 499 Betten;CMI1213
8;CMI >= 1,3;3;0,025;400 bis 499 Betten;CMI13
9;CMI < 0,9;6;0,0769;500 bis 599 Betten;CMI09
9;CMI 0,9 bis unter 1,0;25;0,3205;500 bis 599 Betten;CMI0910
9;CMI 1,0 bis unter 1,1;23;0,2949;500 bis 599 Betten;CMI1011
9;CMI 1,1 bis unter 1,2;12;0,1538;500 bis 599 Betten;CMI1112
