Type;Type2;AufAnlName;Anzahl;sortnr
1;A;Einweisung durch Arzt (E, Z);8437769;1
1;A;Notfall;8567912;2
1;A;nach vorausg. Behandlung in Reha-Einricht.;3013;3
1;A;Verlegung (A) Behandlungsdauer > 24h;497697;4
1;A;Verlegung (A) Behandlungsdauer < 24h;171901;5
1;A;Geburt;706476;7
1;A;Aufnahmen gesamt (ohne Begleitpersonen);18384768;8
1;E;Behandlung beendet (01, 03, 04);15278275;9
1;E;Behandlung beendet, nachstat. Beh. vorgesehen (02, 14, 15);1252640;10
1;E;Tod;423930;11
1;E;Verlegung (E) in ein anderes Krankenhaus;616489;12
1;E;Verlegung (E) in ein anderes Krankenhaus im Rahmen einer Kooperation;13760;13
1;E;Externe Verlegung (E) zur psych. Behandlung;13005;14
1;E;Fallabschluss (interne Verlegung) mit Wechsel zwischen voll- und teilstationärer Behandlung;3372;15
1;E;Entlassung in andere Versorgungseinrichtung (099, 109, 119);752343;16
1;E;Interne Verlegung zwischen den Entgeltbereichen der DRG-Fallpauschalen, nach der BPflV oder für besondere Einrichtungen nach § 17 Abs. 1 Satz 15 KHG;30694;17
1;E;Zuständigkeitswechsel des Kostenträgers;260;18
1;E;Entlassungen/Verlegungen gesamt;18384768;20
2;A;Einweisung durch Arzt (E, Z);389672;1
2;A;Notfall;70077;2
2;A;nach vorausg. Behandlung in Reha-Einricht.;9;3
2;A;Verlegung (A) Behandlungsdauer > 24h;1554;4
2;A;Verlegung (A) Behandlungsdauer < 24h;945;5
2;A;Geburt;35511;7
2;A;Aufnahmen gesamt (ohne Begleitpersonen);497768;8
2;E;Behandlung beendet (01, 03, 04);474721;9
2;E;Behandlung beendet, nachstat. Beh. vorgesehen (02, 14, 15);3339;10
2;E;Tod;1492;11
2;E;Verlegung (E) in ein anderes Krankenhaus;6252;12
2;E;Verlegung (E) in ein anderes Krankenhaus im Rahmen einer Kooperation;235;13
2;E;Externe Verlegung (E) zur psych. Behandlung;13;14
2;E;Fallabschluss (interne Verlegung) mit Wechsel zwischen voll- und teilstationärer Behandlung;6;15
2;E;Entlassung in andere Versorgungseinrichtung (099, 109, 119);11652;16
2;E;Interne Verlegung zwischen den Entgeltbereichen der DRG-Fallpauschalen, nach der BPflV oder für besondere Einrichtungen nach § 17 Abs. 1 Satz 15 KHG;57;17
2;E;Zuständigkeitswechsel des Kostenträgers;1;18
2;E;Entlassungen/Verlegungen gesamt;497768;20
