Type;viersteller;vierstellername;AnzahlA;Anzahl KH;mwNennungenKH;antKHTop10Prozent;antKHTop20Prozent;antKHTop30Prozent;antKHTop40Prozent;antKHTop50Prozent
1;5-010;Schädeleröffnung über die Kalotte;72126;313;230.4345;0.4735;0.7065;0.8453;0.9276;0.9736
1;5-011;Zugang durch die Schädelbasis;4271;194;22.0155;0.5252;0.7003;0.8054;0.878;0.9237
1;5-012;Inzision der Schädelknochen [Kraniotomie und Kraniektomie];7393;256;28.8789;0.3823;0.5988;0.7544;0.853;0.9209
1;5-013;Inzision von Gehirn und Hirnhäuten;21984;257;85.5409;0.3643;0.5648;0.7127;0.8264;0.9043
1;5-014;Stereotaktische Operationen an Schädel, Gehirn und Hirnhäuten;1707;92;18.5543;0.6034;0.7862;0.8805;0.9303;0.9572
1;5-015;Exzision und Destruktion von erkranktem intrakraniellem Gewebe;21839;211;103.5024;0.393;0.603;0.7433;0.8427;0.9118
1;5-016;Exzision und Destruktion von erkranktem Gewebe der Schädelknochen;2554;238;10.7311;0.4781;0.6856;0.8054;0.8786;0.926
1;5-017;Inzision, Resektion und Destruktion an intrakraniellen Anteilen von Hirnnerven und Ganglien;1550;133;11.6541;0.4735;0.6871;0.7981;0.8677;0.9213
1;5-018;Mikrovaskuläre Dekompression von intrakraniellen Nerven;800;121;6.6116;0.38;0.5725;0.7075;0.8025;0.8763
1;5-020;Kranioplastik;10174;238;42.7479;0.5093;0.7009;0.8163;0.8934;0.939
1;5-021;Rekonstruktion der Hirnhäute;33443;307;108.9349;0.4878;0.7231;0.8578;0.9357;0.975
1;5-022;Inzision am Liquorsystem;14640;267;54.8315;0.4302;0.6475;0.7925;0.8895;0.9448
1;5-023;Anlegen eines Liquorshuntes [Shunt-Implantation];7119;218;32.656;0.38;0.5881;0.7229;0.8248;0.8994
1;5-024;Revision und Entfernung von Liquorableitungen;10036;267;37.588;0.5033;0.7052;0.8321;0.9105;0.9575
1;5-025;Inzision, Exzision, Destruktion und Verschluss von intrakraniellen Blutgefäßen;4156;163;25.4969;0.3619;0.5808;0.724;0.826;0.8953
1;5-026;Rekonstruktion von intrakraniellen Blutgefäßen;1844;118;15.6271;0.4366;0.6562;0.7831;0.8698;0.923
1;5-027;Anlegen eines Bypasses und Transposition von intrakraniellen Blutgefäßen;233;28;8.3214;0.6438;0.7897;0.8412;0.8884;0.9227
1;5-028;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten;2450;88;27.8409;0.4514;0.70;0.8327;0.9282;0.9751
1;5-029;Andere Operationen an Schädel, Gehirn und Hirnhäuten;6345;205;30.9512;0.4895;0.7173;0.8389;0.9094;0.9511
1;5-030;Zugang zum kraniozervikalen Übergang und zur Halswirbelsäule;46400;688;67.4419;0.3889;0.5909;0.7267;0.8255;0.8934
1;5-031;Zugang zur Brustwirbelsäule;29372;697;42.1406;0.4939;0.6917;0.8126;0.8953;0.9431
1;5-032;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis;301454;881;342.1725;0.396;0.5961;0.7334;0.8338;0.9051
1;5-033;Inzision des Spinalkanals;33633;650;51.7431;0.5404;0.7524;0.8594;0.9182;0.9539
1;5-034;Inzision von Rückenmark und Rückenmarkhäuten;1321;257;5.1401;0.5556;0.6927;0.7805;0.8456;0.8887
1;5-035;Exzision und Destruktion von erkranktem Gewebe des Rückenmarkes und der Rückenmarkhäute;7784;438;17.7717;0.4535;0.6626;0.7887;0.8742;0.925
1;5-036;Plastische Operationen an Rückenmark und Rückenmarkhäuten;18140;637;28.4772;0.4449;0.6463;0.7764;0.858;0.9152
1;5-037;Operationen an intraspinalen Blutgefäßen;1784;141;12.6525;0.7382;0.8694;0.9109;0.9372;0.9563
1;5-038;Operationen am spinalen Liquorsystem;11060;366;30.2186;0.543;0.7361;0.8558;0.9215;0.9599
1;5-039;Andere Operationen an Rückenmark und Rückenmarkstrukturen;12603;439;28.7084;0.6288;0.7972;0.8837;0.9298;0.9573
1;5-040;Inzision von Nerven;1621;278;5.8309;0.7323;0.8075;0.8519;0.8865;0.9143
1;5-041;Exzision und Destruktion von (erkranktem) Gewebe von Nerven;9491;792;11.9836;0.5061;0.6896;0.8003;0.8701;0.9171
1;5-042;Exzision eines Nerven zur Transplantation;712;185;3.8486;0.5112;0.6559;0.7486;0.8118;0.8652
1;5-043;Sympathektomie;850;102;8.3333;0.6835;0.7882;0.8588;0.8988;0.9259
1;5-044;Epineurale Naht eines Nerven und Nervenplexus, primär;6223;574;10.8415;0.5295;0.7287;0.8261;0.8898;0.9278
1;5-045;Interfaszikuläre Naht eines Nerven und Nervenplexus, primär;1390;351;3.9601;0.4568;0.623;0.7295;0.8022;0.854
1;5-046;Epineurale Naht eines Nerven und Nervenplexus, sekundär;532;239;2.2259;0.3064;0.4774;0.6071;0.6974;0.7763
1;5-047;Interfaszikuläre Naht eines Nerven und Nervenplexus, sekundär;153;80;1.9125;0.4052;0.5359;0.634;0.6863;0.7386
1;5-048;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation;366;137;2.6715;0.4044;0.5383;0.6503;0.7268;0.8033
1;5-049;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation;274;97;2.8247;0.5146;0.6168;0.6971;0.7701;0.8248
1;5-04a;Perkutane Sympathikolyse mit Steuerung durch bildgebende Verfahren;1592;199;8.00;0.5402;0.7054;0.8015;0.8624;0.9045
1;5-050;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, primär;401;125;3.208;0.5611;0.6534;0.7307;0.7905;0.8454
1;5-051;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, primär;62;33;1.8788;0.3226;0.5161;0.6129;0.6774;0.7419
1;5-052;Epineurale Naht eines Nerven und Nervenplexus mit Transposition, sekundär;63;41;1.5366;0.3333;0.4603;0.5397;0.6032;0.6825
1;5-053;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transposition, sekundär;89;31;2.871;0.5618;0.7191;0.7528;0.7865;0.8315
1;5-054;Epineurale Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;220;97;2.268;0.3318;0.5045;0.6182;0.7091;0.7818
1;5-055;Interfaszikuläre Naht eines Nerven und Nervenplexus mit Transplantation und Transposition;125;55;2.2727;0.456;0.568;0.664;0.736;0.784
