Type;Type2;Bereich;Bereichsname;Anzahl;VwdMw;stdVwd;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 Jahre und älter;Ant00J;Ant0105J;Ant0510J;Ant1015J;Ant1520J;Ant2025J;Ant2530J;Ant3035J;Ant3540J;Ant4045J;Ant4550J;Ant5055J;Ant5560J;Ant6065J;Ant6570J;Ant7075J;Ant7580J;Ant8085J;Ant8590J;Ant90ffJ
1;1;01;Bestimmte infektiöse und parasitäre Krankheiten;627675;7.3323;8.7944;25335;45838;21067;15781;23149;20182;19106;16875;15914;15082;20765;27814;31478;34113;39682;43218;70664;66165;47920;27527;0.0404;0.073;0.0336;0.0251;0.0369;0.0322;0.0304;0.0269;0.0254;0.024;0.0331;0.0443;0.0502;0.0543;0.0632;0.0689;0.1126;0.1054;0.0763;0.0439
1;1;02;Neubildungen;1810556;7.4035;9.4682;4142;10597;8184;7336;10546;10984;17499;24136;35323;49158;89656;139828;178281;210179;236334;222784;280114;171516;76900;27059;0.0023;0.0059;0.0045;0.0041;0.0058;0.0061;0.0097;0.0133;0.0195;0.0272;0.0495;0.0772;0.0985;0.1161;0.1305;0.123;0.1547;0.0947;0.0425;0.0149
1;1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;128467;6.1569;6.8822;1032;3285;2841;1997;2206;1883;2314;2521;2978;3344;4732;6025;6724;7928;9784;10979;18728;17851;13524;7791;0.008;0.0256;0.0221;0.0155;0.0172;0.0147;0.018;0.0196;0.0232;0.026;0.0368;0.0469;0.0523;0.0617;0.0762;0.0855;0.1458;0.139;0.1053;0.0606
1;1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;514878;7.3959;8.3065;2050;3881;5600;9413;9040;7370;9529;11307;13230;15825;24429;32887;36034;36918;40232;39668;65466;65866;52508;33625;0.004;0.0075;0.0109;0.0183;0.0176;0.0143;0.0185;0.022;0.0257;0.0307;0.0474;0.0639;0.07;0.0717;0.0781;0.077;0.1271;0.1279;0.102;0.0653
1;1;05;Psychische und Verhaltensstörungen;296977;5.3213;8.5353;708;3930;6191;10549;30917;17828;15981;17105;18210;18179;23127;27507;24272;16817;12382;10702;15682;13470;9006;4414;0.0024;0.0132;0.0208;0.0355;0.1041;0.06;0.0538;0.0576;0.0613;0.0612;0.0779;0.0926;0.0817;0.0566;0.0417;0.036;0.0528;0.0454;0.0303;0.0149
1;1;06;Krankheiten des Nervensystems;749216;6.3165;9.9438;4787;12538;13931;14941;20790;21133;24716;25581;27656;30228;44645;60309;64575;60345;61055;61850;89733;64081;32730;13592;0.0064;0.0167;0.0186;0.0199;0.0277;0.0282;0.033;0.0341;0.0369;0.0403;0.0596;0.0805;0.0862;0.0805;0.0815;0.0826;0.1198;0.0855;0.0437;0.0181
1;1;07;Krankheiten des Auges und der Augenanhangsgebilde;303544;2.9652;2.719;1080;2694;4254;2739;3139;3448;4373;4675;5125;6108;10581;17022;22381;27290;34169;37196;54988;38199;18033;6050;0.0036;0.0089;0.014;0.009;0.0103;0.0114;0.0144;0.0154;0.0169;0.0201;0.0349;0.0561;0.0737;0.0899;0.1126;0.1225;0.1812;0.1258;0.0594;0.0199
1;1;08;Krankheiten des Ohres und des Warzenfortsatzes;148192;3.7339;2.6962;2275;5948;3686;3039;3190;3511;4789;5525;6564;7293;10401;13314;13983;13297;12282;11062;13690;8900;4109;1334;0.0154;0.0401;0.0249;0.0205;0.0215;0.0237;0.0323;0.0373;0.0443;0.0492;0.0702;0.0898;0.0944;0.0897;0.0829;0.0746;0.0924;0.0601;0.0277;0.009
1;1;09;Krankheiten des Kreislaufsystems;2871388;7.3337;9.2557;1583;1723;2858;5919;10512;10545;14500;19966;29014;43766;87407;151341;210166;259442;309410;339189;525295;437172;273448;138132;0.0006;0.0006;0.001;0.0021;0.0037;0.0037;0.005;0.007;0.0101;0.0152;0.0304;0.0527;0.0732;0.0904;0.1078;0.1181;0.1829;0.1523;0.0952;0.0481
1;1;10;Krankheiten des Atmungssystems;1213789;7.0522;7.536;53172;96475;29705;14980;25601;27084;28418;27584;26376;24795;34349;50952;68640;83326;96834;103534;147762;126151;91816;56235;0.0438;0.0795;0.0245;0.0123;0.0211;0.0223;0.0234;0.0227;0.0217;0.0204;0.0283;0.042;0.0566;0.0686;0.0798;0.0853;0.1217;0.1039;0.0756;0.0463
1;1;11;Krankheiten des Verdauungssystems;1910875;5.3748;7.1113;11374;13082;17752;30565;50040;54230;65645;70997;77830;83866;119013;157148;163485;158430;159033;148353;210626;164985;102480;51941;0.006;0.0068;0.0093;0.016;0.0262;0.0284;0.0344;0.0372;0.0407;0.0439;0.0623;0.0822;0.0856;0.0829;0.0832;0.0776;0.1102;0.0863;0.0536;0.0272
1;1;12;Krankheiten der Haut und der Unterhaut;295944;6.4471;9.7042;4419;9097;6518;6633;15874;17963;18480;16742;15667;14318;18317;22071;21141;18608;17333;15169;21927;17571;11567;6529;0.0149;0.0307;0.022;0.0224;0.0536;0.0607;0.0624;0.0566;0.0529;0.0484;0.0619;0.0746;0.0714;0.0629;0.0586;0.0513;0.0741;0.0594;0.0391;0.0221
1;1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;1650825;7.1022;7.0064;511;4832;8234;17833;24826;24964;33697;40447;52025;65935;111445;162493;182406;173151;161893;160521;215755;132109;57574;20174;0.0003;0.0029;0.005;0.0108;0.015;0.0151;0.0204;0.0245;0.0315;0.0399;0.0675;0.0984;0.1105;0.1049;0.0981;0.0972;0.1307;0.08;0.0349;0.0122
1;1;14;Krankheiten des Urogenitalsystems;1005481;4.8959;5.6563;9714;8508;6814;9570;23068;30924;39327;43372;46709;49494;63204;72714;70807;73551;80599;79926;117273;91176;57283;31448;0.0097;0.0085;0.0068;0.0095;0.0229;0.0308;0.0391;0.0431;0.0465;0.0492;0.0629;0.0723;0.0704;0.0732;0.0802;0.0795;0.1166;0.0907;0.057;0.0313
1;1;15;Schwangerschaft, Geburt und Wochenbett;1008531;3.7122;3.5367;25;3;0;311;28168;120048;285466;340866;191509;39546;2379;185;19;1;1;0;0;1;0;3;0;0.00;0;0.0003;0.0279;0.119;0.2831;0.338;0.1899;0.0392;0.0024;0.0002;0;0.00;0;0.00;0;0.00;0;0.00
1;1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;204490;8.727;14.8772;204375;88;7;3;5;3;3;0;1;0;0;2;1;1;0;0;0;1;0;0;0.9994;0.0004;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
1;1;17;Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;100035;5.4448;10.4045;31650;18472;9353;7054;6020;3707;3223;2586;2364;2092;2554;2776;2505;1788;1348;983;990;400;130;40;0.3164;0.1847;0.0935;0.0705;0.0602;0.0371;0.0322;0.0259;0.0236;0.0209;0.0255;0.0278;0.025;0.0179;0.0135;0.0098;0.0099;0.004;0.0013;0.0004
1;1;18;Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind;936568;3.7823;4.7395;17851;16678;16839;32357;47872;35360;35630;34134;35806;37034;48369;59886;61089;58770;60125;63635;100541;87184;57875;29533;0.0191;0.0178;0.018;0.0345;0.0511;0.0378;0.038;0.0364;0.0382;0.0395;0.0516;0.0639;0.0652;0.0628;0.0642;0.0679;0.1074;0.0931;0.0618;0.0315
1;1;19;Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen;1949578;6.7747;9.4894;27741;63959;53721;60613;80593;75075;71017;62236;59095;58838;82838;110384;118392;115652;118765;121821;201982;194678;160565;111613;0.0142;0.0328;0.0276;0.0311;0.0413;0.0385;0.0364;0.0319;0.0303;0.0302;0.0425;0.0566;0.0607;0.0593;0.0609;0.0625;0.1036;0.0999;0.0824;0.0572
1;1;20;Äußere Ursachen von Morbidität und Mortalität;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
