Type;Bundesland_A;Stufe;Anzahl KH;mwFallzahlA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
1;00_Deutschland;bis 49 Betten;138;1363.8623;11.8262;1.2119;0.0272;00;b0049
1;00_Deutschland;50 bis 99 Betten;174;2374.4425;11.3793;1.3402;0.021;00;b0099
1;00_Deutschland;100 bis 149 Betten;187;4500.8128;10.4445;1.4308;0.0334;00;b0149
1;00_Deutschland;150 bis 199 Betten;174;7110.8793;7.4886;1.1431;0.0283;00;b0199
1;00_Deutschland;200 bis 249 Betten;118;9651.4492;6.1627;1.0668;0.0271;00;b0249
1;00_Deutschland;250 bis 299 Betten;102;11716.5294;6.3016;1.1483;0.0283;00;b0299
1;00_Deutschland;300 bis 399 Betten;174;15071.4023;6.618;1.0759;0.0266;00;b0399
1;00_Deutschland;400 bis 499 Betten;109;20120.3853;6.0717;1.0665;0.0281;00;b0499
1;00_Deutschland;500 bis 599 Betten;86;23908.4767;6.2051;1.1228;0.0296;00;b0599
1;00_Deutschland;600 bis 799 Betten;75;29544.24;6.4656;1.1323;0.0313;00;b0799
1;00_Deutschland;800 bis 999 Betten;29;38333.5172;6.2718;1.2335;0.0229;00;b0999
1;00_Deutschland;1000 Betten und mehr;53;57930.7358;6.4521;1.3745;0.0309;00;b1000+
1;00_Deutschland;Ohne Angabe;14;7214.7143;5.876;0.9839;0.0241;00;oA
2;00_Deutschland;bis 49 Betten;36;1177.1944;3.4948;0.6834;0.0093;00;b0049
2;00_Deutschland;50 bis 99 Betten;40;1402.275;4.0185;0.6818;0.0119;00;b0099
2;00_Deutschland;100 bis 149 Betten;66;1124.9242;3.3644;0.543;0.0155;00;b0149
2;00_Deutschland;150 bis 199 Betten;92;518.5543;3.3185;0.5947;0.013;00;b0199
2;00_Deutschland;200 bis 249 Betten;60;675.4833;3.1235;0.5677;0.0097;00;b0249
2;00_Deutschland;250 bis 299 Betten;62;750.5806;3.3581;0.5768;0.0144;00;b0299
2;00_Deutschland;300 bis 399 Betten;97;674.3299;2.8754;0.5119;0.0153;00;b0399
2;00_Deutschland;400 bis 499 Betten;70;521.8714;3.1722;0.5323;0.0137;00;b0499
