Type;drg;name;AnzahlA;mwVwd;vwdStd;AnzKLA;AntKLA;AnzLLA;AntLLA
1;801A;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter komplizierender Konstellation oder Strahlentherapie oder endovaskulärer Implantation von Stent-Prothesen an der Aorta oder intensivmediz. Komplexbehandlung > 392 / 368 / - Aufwandspunkte;676;25.9556;18.5326;84;0.1243;94;0.1391
1;801B;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit hochkomplexer OR-Prozedur oder mit komplizierender Konstellation;4402;20.8126;13.9967;539;0.1224;444;0.1009
1;801C;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit komplexer OR-Prozedur oder anderem Eingriff an Kopf und Wirbelsäule oder mit neurologischer Komplexbehandlung des akuten Schlaganfalls oder Alter < 1 Jahr oder bei Para- / Tetraplegie;1821;19.0176;12.4437;183;0.1005;166;0.0912
1;801D;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit bestimmter OR-Prozedur oder mit intensivmediz. Komplexbeh. > 196 / 184 / 368 Aufwandspunkte oder bestimmte nicht ausgedehnte OR-Prozedur mit neurolog. Komplexbehandlung des akuten Schlaganfalls;18651;15.4041;10.9709;2098;0.1125;1479;0.0793
1;801E;Ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne komplizierende Konstellation, ohne hochkomplexe, komplexe oder bestimmte OR-Prozedur;6113;11.2696;7.8428;714;0.1168;458;0.0749
1;802A;Bestimmte nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose oder andere nicht ausgedehnte OR-Prozedur mit intensivmedizinischer Komplexbehandlung > 196 / 184 / 368 Aufwandspunkte;5612;11.0718;9.5813;1165;0.2076;468;0.0834
1;802B;Andere nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose mit mäßig komplexer OR-Prozedur;2338;8.1856;7.0016;402;0.1719;189;0.0808
1;802C;Andere nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose ohne mäßig komplexe OR-Prozedur;5232;7.5394;8.2144;974;0.1862;652;0.1246
1;802D;Wenig komplexe nicht ausgedehnte OR-Prozedur ohne Bezug zur Hauptdiagnose;1987;4.8349;5.9093;523;0.2632;216;0.1087
1;863Z;Neonatale Diagnose ohne Bezug zu Alter oder Gewicht;185;7.1243;10.737;36;0.1946;41;0.2216
1;960Z;Nicht gruppierbar;124;4.7823;7.1176;48;0.3871;57;0.4597
1;961Z;Unzulässige Hauptdiagnose;543;8.6004;17.0603;211;0.3886;93;0.1713
1;962Z;Unzulässige Kodierung einer Sectio caesarea;10;4.50;4.5277;0;0.00;10;1.00
1;A01A;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;86;64.1395;33.3538;0;0.00;37;0.4302
1;A01B;Lebertransplantation ohne kombinierte Dünndarmtransplantation mit Beatmung > 59 und < 180 Stunden oder mit Transplantatabstoßung oder mit kombinierter Nierentransplantation oder mit kombinierter Pankreastransplantation oder Alter < 6 Jahre;232;43.3707;35.6678;17;0.0733;64;0.2759
1;A01C;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne kombinierte Nierentransplantation, ohne kombinierte Pankreastransplantation, Alter > 5 Jahre;328;25.4573;15.8328;5;0.0152;20;0.061
1;A02Z;Transplantation von Niere und Pankreas;66;31.4091;16.7983;0;0.00;18;0.2727
