Type;Bereich;Bezeichnung;Anzahl KH;AnzahlTS
1;01;Bestimmte infektiöse und parasitäre Krankheiten;155;4947
1;02;Neubildungen;237;152710
1;03;Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems;156;7316
1;04;Endokrine, Ernährungs- und Stoffwechselkrankheiten;210;15011
1;05;Psychische und Verhaltensstörungen;219;19032
1;06;Krankheiten des Nervensystems;263;38127
1;07;Krankheiten des Auges und der Augenanhangsgebilde;74;6060
1;08;Krankheiten des Ohres und des Warzenfortsatzes;95;8552
1;09;Krankheiten des Kreislaufsystems;232;11582
1;10;Krankheiten des Atmungssystems;197;5734
1;11;Krankheiten des Verdauungssystems;175;12743
1;12;Krankheiten der Haut und der Unterhaut;120;20485
1;13;Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;266;26552
1;14;Krankheiten des Urogenitalsystems;194;13069
1;15;Schwangerschaft, Geburt und Wochenbett;27;769
1;16;Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben;31;130
1;17;Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien;96;5353
1;18;Symptome und abnorme klinische und Laborbefunde, die anderenorts nicht klassifiziert sind;284;26810
1;19;Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen;227;9322
1;20;Äußere Ursachen von Morbidität und Mortalität;0;0
1;21;Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen;225;38720
1;22;Schlüsselnummern für besondere Zwecke;7;18
2;A00-A09;Infektiöse Darmkrankheiten;58;267
2;A15-A19;Tuberkulose;20;62
2;A20-A28;Bestimmte bakterielle Zoonosen;4;6
2;A30-A49;Sonstige bakterielle Krankheiten;72;307
2;A50-A64;Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen werden;33;230
2;A65-A69;Sonstige Spirochätenkrankheiten;47;216
2;A70-A74;Sonstige Krankheiten durch Chlamydien;2;2
2;A75-A79;Rickettsiosen;0;0
2;A80-A89;Virusinfektionen des Zentralnervensystems;16;35
2;A90-A99;Durch Arthropoden übertragene Viruskrankheiten und virale hämorrhagische Fieber;4;4
2;B00-B09;Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind;78;675
2;B15-B19;Virushepatitis;17;317
