TraegerName;Fallstufe;Anzahl KH;Anteil KH;Traeger_Nr;TraegerSort;FallstufeSort
Alle;bis 4.999 Fälle;509;0.3362;A;0;f04999
Alle;5.000 bis 9.999 Fälle;327;0.216;A;0;f09999
Alle;10.000 bis 14.999 Fälle;233;0.1539;A;0;f14999
Alle;15.000 bis 19.999 Fälle;149;0.0984;A;0;f19999
Alle;20.000 bis 29.999 Fälle;177;0.1169;A;0;f29999
Alle;30.000 bis 39.999 Fälle;58;0.0383;A;0;f39999
Alle;über 40.000 Fälle;61;0.0403;A;0;f40000+
Öffentliche Krankenhäuser;bis 4.999 Fälle;97;0.2042;O;1;f04999
Öffentliche Krankenhäuser;5.000 bis 9.999 Fälle;95;0.20;O;1;f09999
Öffentliche Krankenhäuser;10.000 bis 14.999 Fälle;68;0.1432;O;1;f14999
Öffentliche Krankenhäuser;15.000 bis 19.999 Fälle;56;0.1179;O;1;f19999
Öffentliche Krankenhäuser;20.000 bis 29.999 Fälle;76;0.16;O;1;f29999
Öffentliche Krankenhäuser;30.000 bis 39.999 Fälle;34;0.0716;O;1;f39999
Öffentliche Krankenhäuser;über 40.000 Fälle;49;0.1032;O;1;f40000+
Freigemeinnützige Krankenhäuser;bis 4.999 Fälle;159;0.2641;F;2;f04999
Freigemeinnützige Krankenhäuser;5.000 bis 9.999 Fälle;153;0.2542;F;2;f09999
Freigemeinnützige Krankenhäuser;10.000 bis 14.999 Fälle;127;0.211;F;2;f14999
Freigemeinnützige Krankenhäuser;15.000 bis 19.999 Fälle;68;0.113;F;2;f19999
Freigemeinnützige Krankenhäuser;20.000 bis 29.999 Fälle;76;0.1262;F;2;f29999
Freigemeinnützige Krankenhäuser;30.000 bis 39.999 Fälle;14;0.0233;F;2;f39999
Freigemeinnützige Krankenhäuser;über 40.000 Fälle;5;0.0083;F;2;f40000+
Private Krankenhäuser;bis 4.999 Fälle;253;0.5789;P;3;f04999
Private Krankenhäuser;5.000 bis 9.999 Fälle;79;0.1808;P;3;f09999
Private Krankenhäuser;10.000 bis 14.999 Fälle;38;0.087;P;3;f14999
Private Krankenhäuser;15.000 bis 19.999 Fälle;25;0.0572;P;3;f19999
Private Krankenhäuser;20.000 bis 29.999 Fälle;25;0.0572;P;3;f29999
Private Krankenhäuser;30.000 bis 39.999 Fälle;10;0.0229;P;3;f39999
Private Krankenhäuser;über 40.000 Fälle;7;0.016;P;3;f40000+
