Type;viersteller;vierstellername;AnzahlA;Anzahl KH;mwNennungenKH;antKHTop10Prozent;antKHTop20Prozent;antKHTop30Prozent;antKHTop40Prozent;antKHTop50Prozent
1;5-010;Schädeleröffnung über die Kalotte;70667;305;231.6951;0.4597;0.6881;0.8346;0.9205;0.9717
1;5-011;Zugang durch die Schädelbasis;4223;190;22.2263;0.5172;0.7049;0.8136;0.8816;0.9318
1;5-012;Inzision der Schädelknochen [Kraniotomie und Kraniektomie];7372;264;27.9242;0.3915;0.6085;0.7595;0.8629;0.9269
1;5-013;Inzision von Gehirn und Hirnhäuten;21955;262;83.7977;0.3441;0.5582;0.7171;0.8337;0.91
1;5-014;Stereotaktische Operationen an Schädel, Gehirn und Hirnhäuten;1690;91;18.5714;0.587;0.7899;0.8923;0.9379;0.9615
1;5-015;Exzision und Destruktion von erkranktem intrakraniellem Gewebe;21105;199;106.0553;0.3823;0.5865;0.7324;0.8305;0.8989
1;5-016;Exzision und Destruktion von erkranktem Gewebe der Schädelknochen;2558;235;10.8851;0.4695;0.6583;0.7776;0.8585;0.9113
1;5-017;Inzision, Resektion und Destruktion an intrakraniellen Anteilen von Hirnnerven und Ganglien;1560;130;12.00;0.4673;0.6679;0.7904;0.8647;0.9103
1;5-018;Mikrovaskuläre Dekompression von intrakraniellen Nerven;772;117;6.5983;0.3679;0.5492;0.7021;0.7992;0.8705
1;5-020;Kranioplastik;9926;229;43.345;0.455;0.6557;0.7901;0.8747;0.9289
1;5-021;Rekonstruktion der Hirnhäute;32366;323;100.2043;0.4921;0.7384;0.8777;0.9484;0.982
1;5-022;Inzision am Liquorsystem;14434;274;52.6788;0.4204;0.6472;0.798;0.893;0.9461
1;5-023;Anlegen eines Liquorshuntes [Shunt-Implantation];6843;230;29.7522;0.3779;0.5895;0.7324;0.8349;0.9059
1;5-024;Revision und Entfernung von Liquorableitungen;10007;253;39.5534;0.4855;0.687;0.8082;0.8894;0.94
1;5-025;Inzision, Exzision, Destruktion und Verschluss von intrakraniellen Blutgefäßen;4145;175;23.6857;0.371;0.5742;0.725;0.8241;0.9025
1;5-026;Rekonstruktion von intrakraniellen Blutgefäßen;214;75;2.8533;0.4393;0.5841;0.7103;0.7804;0.8271
1;5-027;Anlegen eines Bypasses und Transposition von intrakraniellen Blutgefäßen;177;23;7.6957;0.6102;0.8023;0.8418;0.8757;0.9153
1;5-028;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten;2282;92;24.8043;0.4855;0.7213;0.8523;0.9303;0.9684
1;5-029;Andere Operationen an Schädel, Gehirn und Hirnhäuten;6336;208;30.4615;0.4888;0.7161;0.8408;0.9088;0.9492
1;5-030;Zugang zum kraniozervikalen Übergang und zur Halswirbelsäule;43423;667;65.1019;0.3906;0.5882;0.7269;0.8233;0.8907
1;5-031;Zugang zur Brustwirbelsäule;26634;674;39.5163;0.4941;0.6984;0.8186;0.8951;0.9415
1;5-032;Zugang zur Lendenwirbelsäule, zum Os sacrum und zum Os coccygis;280296;881;318.1566;0.4059;0.6118;0.7485;0.8465;0.9139
1;5-033;Inzision des Spinalkanals;31883;618;51.5906;0.5531;0.7485;0.8524;0.9144;0.9515
1;5-034;Inzision von Rückenmark und Rückenmarkhäuten;1344;234;5.7436;0.5967;0.724;0.8051;0.8631;0.8973
1;5-035;Exzision und Destruktion von erkranktem Gewebe des Rückenmarkes und der Rückenmarkhäute;7093;410;17.30;0.4468;0.6504;0.7856;0.8679;0.9208
1;5-036;Plastische Operationen an Rückenmark und Rückenmarkhäuten;16601;591;28.0897;0.4195;0.6262;0.7627;0.8504;0.9134
1;5-037;Operationen an intraspinalen Blutgefäßen;1789;134;13.3507;0.7619;0.8843;0.9262;0.9469;0.9614
1;5-038;Operationen am spinalen Liquorsystem;11400;374;30.4813;0.5196;0.7222;0.8425;0.916;0.9551
1;5-039;Andere Operationen an Rückenmark und Rückenmarkstrukturen;11742;412;28.50;0.6294;0.7943;0.8763;0.9236;0.9522
1;5-040;Inzision von Nerven;1894;289;6.5536;0.7355;0.8178;0.8627;0.8933;0.924
1;5-041;Exzision und Destruktion von erkranktem Gewebe von Nerven;9980;823;12.1264;0.5331;0.7108;0.8112;0.8769;0.9205
1;5-042;Exzision eines Nerven zur Transplantation;717;181;3.9613;0.5202;0.6625;0.7517;0.8103;0.8633
