Type;Bundesland_A;Stufe;Anzahl KH;mwFallzahlA;mwVWD;cmi;antSTF;BLCODE;BettenstufeSort
1;00_Deutschland;bis 49 Betten;124;1029.7339;12.7663;1.356;0.0201;00;b0049
1;00_Deutschland;50 bis 99 Betten;186;2343.7043;10.2087;1.2588;0.0226;00;b0099
1;00_Deutschland;100 bis 149 Betten;205;4346.7024;11.687;1.5794;0.0413;00;b0149
1;00_Deutschland;150 bis 199 Betten;167;6899.7066;7.4151;1.113;0.0279;00;b0199
1;00_Deutschland;200 bis 249 Betten;128;9200.2188;7.0949;1.1209;0.0285;00;b0249
1;00_Deutschland;250 bis 299 Betten;100;11449.76;6.3723;1.0129;0.0269;00;b0299
1;00_Deutschland;300 bis 399 Betten;175;14419.1371;6.6969;1.0784;0.0276;00;b0399
1;00_Deutschland;400 bis 499 Betten;121;19815.9174;5.8208;1.0001;0.0287;00;b0499
1;00_Deutschland;500 bis 599 Betten;81;23303.9012;6.3334;1.1371;0.0276;00;b0599
1;00_Deutschland;600 bis 799 Betten;71;28527.0704;6.568;1.1152;0.0309;00;b0799
1;00_Deutschland;800 bis 999 Betten;32;38654.4063;6.4919;1.1981;0.0262;00;b0999
1;00_Deutschland;1000 Betten und mehr;51;57657.451;6.5483;1.3724;0.0305;00;b1000+
1;00_Deutschland;Ohne Angabe;19;6990.8947;5.3583;0.8974;0.0302;00;oA
2;00_Deutschland;bis 49 Betten;48;1042.8333;3.7252;0.6612;0.0158;00;b0049
2;00_Deutschland;50 bis 99 Betten;51;1511.6078;4.345;0.6886;0.0121;00;b0099
2;00_Deutschland;100 bis 149 Betten;78;988.7949;3.8096;0.5314;0.0215;00;b0149
2;00_Deutschland;150 bis 199 Betten;87;590.6552;3.3368;0.5204;0.0163;00;b0199
2;00_Deutschland;200 bis 249 Betten;69;729.9275;3.5829;0.5837;0.0132;00;b0249
2;00_Deutschland;250 bis 299 Betten;66;830.3182;3.4305;0.5394;0.0151;00;b0299
2;00_Deutschland;300 bis 399 Betten;101;715.4059;3.2717;0.5388;0.0182;00;b0399
