Type;Type2;AufAnlName;Anzahl;sortnr
1;A;Einweisung durch Arzt (E, Z);8469942;1
1;A;Notfall;8305257;2
1;A;nach vorausg. Behandlung in Reha-Einricht.;3090;3
1;A;Verlegung (A) Behandlungsdauer > 24h;469158;4
1;A;Verlegung (A) Behandlungsdauer < 24h;178592;5
1;A;Geburt;647917;7
1;A;Aufnahmen gesamt (ohne Begleitpersonen);18073956;8
1;E;Behandlung beendet (01, 03, 04);15072328;9
1;E;Behandlung beendet, nachstat. Beh. vorgesehen (02, 14, 15);1196463;10
1;E;Tod;422616;11
1;E;Verlegung (E) in ein anderes Krankenhaus;592614;12
1;E;Verlegung (E) in ein anderes Krankenhaus im Rahmen einer Kooperation;13984;13
1;E;Externe Verlegung (E) zur psych. Behandlung;13434;14
1;E;Fallabschluss (interne Verlegung) mit Wechsel zwischen voll- und teilstationärer Behandlung;2729;15
1;E;Entlassung in andere Versorgungseinrichtung (099, 109, 119);731269;16
1;E;Interne Verlegung zwischen den Entgeltbereichen der DRG-Fallpauschalen, nach der BPflV oder für besondere Einrichtungen nach § 17 Abs. 1 Satz 15 KHG;27917;17
1;E;Zuständigkeitswechsel des Kostenträgers;602;18
1;E;Entlassungen/Verlegungen gesamt;18073956;20
2;A;Einweisung durch Arzt (E, Z);444259;1
2;A;Notfall;79414;2
2;A;nach vorausg. Behandlung in Reha-Einricht.;20;3
2;A;Verlegung (A) Behandlungsdauer > 24h;1906;4
2;A;Verlegung (A) Behandlungsdauer < 24h;1140;5
2;A;Geburt;43505;7
2;A;Aufnahmen gesamt (ohne Begleitpersonen);570244;8
2;E;Behandlung beendet (01, 03, 04);544722;9
2;E;Behandlung beendet, nachstat. Beh. vorgesehen (02, 14, 15);2897;10
2;E;Tod;1829;11
2;E;Verlegung (E) in ein anderes Krankenhaus;7518;12
2;E;Verlegung (E) in ein anderes Krankenhaus im Rahmen einer Kooperation;338;13
2;E;Externe Verlegung (E) zur psych. Behandlung;16;14
2;E;Entlassung in andere Versorgungseinrichtung (099, 109, 119);12892;16
2;E;Interne Verlegung zwischen den Entgeltbereichen der DRG-Fallpauschalen, nach der BPflV oder für besondere Einrichtungen nach § 17 Abs. 1 Satz 15 KHG;28;17
2;E;Zuständigkeitswechsel des Kostenträgers;4;18
2;E;Entlassungen/Verlegungen gesamt;570244;20
